,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time,Open,High,Low,Close,Volume
159,159,7962,7962,2022-06-08 04:00:00,30185,30615,30153,30448,8
160,160,1643,1643,2018-06-13 00:00:00,6486,6521,6460,6518,219
161,161,7167,7167,2021-12-09 08:00:00,49489,49587,48899,49387,8
162,162,4349,4349,2020-03-05 08:00:00,8875,9088,8867,9029,129
163,163,3734,3734,2019-10-11 04:00:00,8672,8755,8253,8310,99
164,164,6590,6590,2021-08-02 00:00:00,39487,39883,39241,39634,8
165,165,6125,6125,2021-04-19 00:00:00,56835,57357,56590,57025,8
166,166,4752,4752,2020-06-08 12:00:00,9667,9679,9605,9659,114
167,167,3064,3064,2019-05-08 12:00:00,5792,5855,5766,5811,8
168,168,6605,6605,2021-08-04 12:00:00,38812,39541,38716,39451,8
169,169,1442,1442,2018-04-26 12:00:00,8827,8827,8667,8812,267
170,170,3023,3023,2019-04-29 16:00:00,5097,5113,5069,5072,13
171,171,7249,7249,2021-12-28 12:00:00,49070,49232,48145,48569,8
172,172,1797,1797,2018-07-18 16:00:00,7377,7517,7181,7276,142
173,173,5937,5937,2021-03-05 20:00:00,49159,49361,48870,49008,2
174,174,7778,7778,2022-04-27 12:00:00,38848,39418,38411,39147,8
175,175,4847,4847,2020-06-30 08:00:00,9076,9115,9055,9062,79
176,176,6519,6519,2021-07-15 16:00:00,31541,31735,31107,31707,8
177,177,3834,3834,2019-11-04 20:00:00,9418,9435,9314,9333,135
178,178,129,129,2017-06-21 20:00:00,2658,2675,2569,2658,132
179,179,2112,2112,2018-10-01 04:00:00,6559,6563,6524,6546,8
180,180,1540,1540,2018-05-20 20:00:00,8458,8477,8400,8419,58
181,181,707,707,2017-11-09 00:00:00,7363,7470,7289,7341,454
182,182,6330,6330,2021-06-03 04:00:00,37923,38987,37923,38777,8
183,183,5043,5043,2020-08-14 00:00:00,11717,11765,11629,11688,8
184,184,111,111,2017-06-18 20:00:00,2470,2543,2458,2523,536
185,185,4693,4693,2020-05-25 16:00:00,8753,8921,8739,8860,174
186,186,7641,7641,2022-03-28 08:00:00,46979,47420,46950,47160,8
187,187,1859,1859,2018-08-02 00:00:00,7609,7639,7566,7572,126
188,188,5346,5346,2020-10-22 12:00:00,12843,13068,12837,13045,8
189,189,7554,7554,2022-03-08 00:00:00,38149,38903,38007,38508,8
190,190,753,753,2017-11-20 08:00:00,8055,8147,7995,8143,216
191,191,5580,5580,2020-12-15 04:00:00,19155,19224,19030,19123,8
192,192,2104,2104,2018-09-27 20:00:00,6635,6660,6609,6641,8
193,193,5734,5734,2021-01-20 00:00:00,36334,36383,34774,35266,25773
194,194,373,373,2017-08-22 08:00:00,3834,4001,3812,3982,608
195,195,3967,3967,2019-12-05 00:00:00,7163,7314,7110,7146,83
196,196,5341,5341,2020-10-21 16:00:00,12830,12860,12658,12837,8
197,197,868,868,2017-12-15 00:00:00,16906,17557,16725,17279,67
198,198,7936,7936,2022-06-02 00:00:00,29596,29813,29565,29725,8
199,199,1129,1129,2018-02-14 00:00:00,8538,8784,8537,8742,161
200,200,6972,6972,2021-10-26 20:00:00,62030,62030,59812,60625,8
201,201,867,867,2017-12-14 20:00:00,16396,17023,16281,16909,244
202,202,2903,2903,2019-04-01 16:00:00,4086,4086,4070,4072,8
203,203,4299,4299,2020-02-24 00:00:00,9918,9920,9556,9711,111
204,204,54,54,2017-06-04 20:00:00,2505,2547,2500,2546,287
205,205,7745,7745,2022-04-20 04:00:00,41291,41584,41248,41439,8
206,206,1867,1867,2018-08-03 08:00:00,7315,7336,7269,7336,8
207,207,2880,2880,2019-03-26 20:00:00,3858,3877,3849,3877,8
208,208,1194,1194,2018-02-28 12:00:00,10351,10512,10333,10350,236
209,209,6071,6071,2021-04-06 08:00:00,58441,58951,58302,58425,8
210,210,591,591,2017-10-12 16:00:00,5332,5364,5218,5316,443
211,211,2315,2315,2018-11-15 20:00:00,5417,5549,5354,5489,8
212,212,5539,5539,2020-12-04 16:00:00,18970,19059,18877,18957,8
213,213,2192,2192,2018-10-18 12:00:00,6374,6382,6361,6374,8
214,214,5484,5484,2020-11-23 16:00:00,18375,18472,18279,18373,8
215,215,7398,7398,2022-01-31 20:00:00,38429,38681,38246,38302,8
216,216,423,423,2017-09-04 12:00:00,4371,4484,4231,4255,456
217,217,6110,6110,2021-04-14 16:00:00,63494,63728,61287,62337,8
